,Unnamed: 0,placeID,name,vicinity,lat,lng,types,place_type_1,place_type_2
17391,17391,ChIJW33Rv0YtO4gR3FgNI0PIQYo,Camryn Group,"1401 Abbott Street, Detroit",42.3276474,-83.0617877,"['point_of_interest', 'establishment']",[,'
17414,17414,ChIJGaiKM0EtO4gRlStcODaLxLc,1306-1398 W Lafayette Blvd Parking,"1306-1398 W Lafayette Blvd, Detroit",42.3262791,-83.0613063,"['parking', 'point_of_interest', 'establishment']",[,'
17415,17415,ChIJHRd6y0YtO4gRg3QXiKTJ1jE,3LK Construction LLC,"1401 Howard Street, Detroit",42.326640000000005,-83.06134399999998,"['general_contractor', 'point_of_interest', 'establishment']",[,'
17419,17419,ChIJr9dwLkEtO4gRHfW9XBWqNC4,Lafayette & 8th,United States,42.326152,-83.06085499999998,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",[,'
17421,17421,ChIJjb9iiWDNJIgRS9NpjjryMLA,A G Housey Co,"Howard Street, Detroit",42.32738699999999,-83.06154599999998,"['general_contractor', 'point_of_interest', 'establishment']",[,'
17423,17423,ChIJBykjvkYtO4gRvk7pFr5GN84,Brew Detroit,"1401 Abbott Street, Detroit",42.3276474,-83.0617877,"['food', 'point_of_interest', 'establishment']",[,'
17426,17426,ChIJ0csHikYtO4gRS8Akw-piaR4,Mudgie's Deli and Wine Shop,"1300 Porter Street, Detroit",42.32910510000001,-83.06209199999998,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",[,'
17430,17430,ChIJa2HvWkYtO4gR0ANZQUXytfs,St Frances Cabrini Clinic,"1234 Porter Street, Detroit",42.3295183,-83.06117309999998,"['doctor', 'health', 'point_of_interest', 'establishment']",[,'
17449,17449,ChIJncelcEYtO4gRgBJhwSV4SEE,Most Holy Trinity School,"1229 Labrosse Street, Detroit",42.3300749,-83.06162599999998,"['school', 'point_of_interest', 'establishment']",[,'
17450,17450,ChIJa2HvWkYtO4gRWt4BPdYXUAs,"Dr. Susan P. Schooley, MD","1234 Porter Street, Detroit",42.3295008,-83.0611177,"['doctor', 'health', 'point_of_interest', 'establishment']",[,'
17456,17456,ChIJW5N8XUYtO4gRopeKxlZlo7Y,Murphy Playlot,Detroit,42.3293654,-83.06172579999998,"['park', 'point_of_interest', 'establishment']",[,'
17460,17460,ChIJ3Y2BYUYtO4gRMsB6awMkRbg,220 Group,"1413 Brooklyn Street, Detroit",42.329142700000006,-83.06195550000001,"['point_of_interest', 'establishment']",[,'
17468,17468,ChIJrdCq-UYtO4gRaTGVS1exhhA,Student Valet Parking LLC.,"1240 Abbott Street, Detroit",42.3287717,-83.06081230000001,"['point_of_interest', 'establishment']",[,'
17471,17471,ChIJxxIlW0YtO4gRi2_9BNzWrFw,Project Hope,"1234 Porter Street, Detroit",42.3295183,-83.06117309999998,"['point_of_interest', 'establishment']",[,'
17472,17472,ChIJa2HvWkYtO4gRAJK65bkdFxk,Sisters of St Joseph Inc,"1234 Porter Street, Detroit",42.3294815,-83.06111259999999,"['point_of_interest', 'establishment']",[,'
17474,17474,ChIJ0RYjHkctO4gRiBXOzTQ9WsI,Howard Lot,Detroit,42.3278858,-83.06026429999999,"['parking', 'point_of_interest', 'establishment']",[,'
17480,17480,ChIJOzA4H0QtO4gRHQftgMUoJVc,Dean Savage Memorial Park,Detroit,42.32769049999999,-83.06315169999998,"['park', 'premise', 'point_of_interest', 'establishment']",[,'
17486,17486,ChIJ5xReTEYtO4gRAljEYw1gd5w,Most Holy Trinity Church,"1050 Porter Street, Detroit",42.3297451,-83.0604841,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",[,'
17490,17490,ChIJPT7_OEYtO4gRaZKPwvhEF-0,Global Telecom Solutions,"1501 Sixth Street, Detroit",42.330532500000004,-83.06147399999998,"['point_of_interest', 'establishment']",[,'
17491,17491,ChIJPT7_OEYtO4gRTgWOK2irpO8,GTS Direct,"1501 Sixth Street, Detroit",42.330517900000004,-83.06146319999998,"['point_of_interest', 'establishment']",[,'
17493,17493,ChIJwSP6IUYtO4gRycevb_JReVQ,UIS Irish Plaza,Detroit,42.331139799999995,-83.0616062,"['park', 'point_of_interest', 'establishment']",[,'
17505,17505,ChIJzz1pGUYtO4gRiCm0i_74skg,Charles H Brown Law Office,"1209 Bagley Avenue, Detroit",42.330871200000004,-83.06193549999998,"['lawyer', 'point_of_interest', 'establishment']",[,'
17506,17506,ChIJ5xReTEYtO4gRG6DhE1lIfHU,"Dr. David G. De Marco, MD","1050 Porter Street, Detroit",42.329865999999996,-83.0605095,"['doctor', 'health', 'point_of_interest', 'establishment']",[,'
17509,17509,ChIJgTVbPUYtO4gR4Pvxeq9Ptws,Midwest Gas & Instrument Service,"1535 Sixth Street #6, Detroit",42.3307151,-83.06176140000001,"['car_repair', 'point_of_interest', 'establishment']",[,'
17513,17513,ChIJIfEtGEYtO4gRt0ZbcK5MY4c,Gregory J Reed & Associates,"1201 Bagley Street, Detroit",42.330871200000004,-83.06193549999998,"['lawyer', 'point_of_interest', 'establishment']",[,'
17515,17515,ChIJTwGwGUYtO4gR0U8hJsBWj2o,Lucky Lion,"Bagley Street, Detroit",42.3309416,-83.06185049999998,"['point_of_interest', 'establishment']",[,'
17523,17523,ChIJ46epn0gtO4gRPJI84mVakUA,Michigan & 5th,United States,42.331563,-83.061503,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",[,'
17553,17553,ChIJk8ip4kgtO4gR7FAyqEeVPR0,Palette Dining Studio,"1777 3rd Avenue, Detroit",42.3337657,-83.0610548,"['restaurant', 'food', 'point_of_interest', 'establishment']",[,'
17569,17569,ChIJ6UG7fkgtO4gRSMLa_lQ94vs,Mcihigan & M-10,United States,42.33159300000001,-83.060023,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",[,'
17573,17573,ChIJlwi5TkgtO4gRweh9UNcPYtU,Electric Charging Station,"1777 3rd Avenue, Detroit",42.33478710000001,-83.06064250000001,"['point_of_interest', 'establishment']",[,'
17577,17577,ChIJlwi5TkgtO4gRVA1csGW_p3g,Breeze,"1777 Third St., Detroit",42.33395199999999,-83.060696,"['restaurant', 'food', 'point_of_interest', 'establishment']",[,'
17578,17578,ChIJn8crB0ktO4gRvQvluQH6SO4,Landau,"1777 3rd Avenue, Detroit",42.334126,-83.06045639999998,"['jewelry_store', 'store', 'point_of_interest', 'establishment']",[,'
17580,17580,ChIJaw9QSUgtO4gR9-zTDh9aLRw,AXIS Lounge,"1777 3rd St, MGM Grand Detroit, Detroit",42.3333198,-83.06016230000002,"['bar', 'point_of_interest', 'establishment']",[,'
17584,17584,ChIJ52MnDEktO4gRUnTRBTsypS4,2195 3rd St Garage,"2195 3rd Avenue, Detroit",42.33474329999999,-83.0607469,"['parking', 'point_of_interest', 'establishment']",[,'
17589,17589,ChIJtQGxV0gtO4gRUjyRLEj6u0w,U.Me.Drink,"1777 3rd Avenue, Detroit",42.3333018,-83.06018519999998,"['bar', 'point_of_interest', 'establishment']",[,'
17599,17599,ChIJ2Sgz5EstO4gRbqtuYgOzkpI,Conservation & Museum Services,"905 Henry Street, Detroit",42.3369138,-83.0620821,"['point_of_interest', 'establishment']",[,'
